"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Southwest Airlines Co.","2846","1670","2016-05-10T15:24Z","2016-05-10T21:01Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3301","1670","2015-05-07T16:05Z","2015-05-07T21:35Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","652","1670","2014-09-23T15:27Z","2014-09-23T21:10Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","4297","1670","2014-05-17T13:48Z","2014-05-17T19:17Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2489","1670","2011-09-28T15:45Z","2011-09-28T22:18Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2291","1670","2015-01-28T17:39Z","2015-01-28T23:11Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1039","1670","2010-09-07T15:16Z","2010-09-07T20:35Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3865","1670","2012-01-02T07:32Z","2012-01-02T13:18Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2483","1670","2012-05-11T15:01Z","2012-05-11T20:46Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2001-05-11T15:10Z","2001-05-11T21:41Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2761","1670","2009-01-09T14:29Z","2009-01-09T20:00Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2489","1670","2011-09-15T15:25Z","2011-09-15T20:51Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2002-01-13T15:25Z","2002-01-13T20:38Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","705","1670","2009-09-14T08:52Z","2009-09-14T14:46Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2483","1670","2012-05-29T17:26Z","2012-05-29T23:03Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2004-01-22T15:55Z","2004-01-22T21:22Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2964","1670","2015-09-14T14:24Z","2015-09-14T19:59Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1158","1670","2013-09-18T06:29Z","2013-09-18T12:06Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1336","1670","2015-05-14T06:22Z","2015-05-14T11:50Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3586","1670","2014-05-30T14:45Z","2014-05-30T20:30Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","3301","1670","2015-05-06T15:54Z","2015-05-06T21:55Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","409","1670","2012-09-06T09:54Z","2012-09-06T15:21Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2483","1670","2012-05-02T15:00Z","2012-05-02T20:42Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1319","1670","2009-05-11T09:02Z","2009-05-11T14:31Z","Baltimore/Washington International Thurgood Marshall"
